id,title,body,kind,created_at,updated_at,list_pin_id,user_id
55,,"Claimy poo",2,"2015-12-06 01:44:56.361055","2015-12-06 01:44:56.361055",136,3
56,,"Claimety ponk.",2,"2015-12-06 01:50:09.419512","2015-12-06 01:50:09.419512",128,3
57,,Thinged,2,"2015-12-06 01:52:26.647972","2015-12-06 01:52:26.647972",117,3
58,,"Claimeded -- and can someone get me one????",2,"2015-12-06 01:54:32.595162","2015-12-06 01:54:32.595162",148,3
59,,"M-om and Dad have this one thing.",2,"2015-12-06 15:59:11.498906","2015-12-06 15:59:11.498906",96,6
60,,"I got it! Anita",2,"2015-12-06 22:55:06.881586","2015-12-06 22:55:06.881586",156,5
61,,"I got it! Anita",2,"2015-12-06 22:55:07.196880","2015-12-06 22:55:07.196880",156,5
62,,Getting!,2,"2015-12-07 21:13:02.765307","2015-12-07 21:13:02.765307",139,1
63,,Me,2,"2015-12-08 00:21:27.874823","2015-12-08 00:21:27.874823",153,3
64,,"Please disregard previous ""Claim.""",1,"2015-12-08 13:43:53.374168","2015-12-08 13:43:53.374168",111,6
65,,"Mom and Dad have this one.",2,"2015-12-08 13:45:23.510160","2015-12-08 13:45:23.510160",110,6
66,,"Mom and Dad have this one.",2,"2015-12-08 13:56:12.813836","2015-12-08 13:56:12.813836",109,6
67,,"Mom and Dad L. have this one.",2,"2015-12-08 15:52:18.093636","2015-12-08 15:52:18.093636",121,6
68,,"Mom and Dad have this one.",2,"2015-12-08 15:58:51.793596","2015-12-08 15:58:51.793596",127,6
70,,Grandma,2,"2015-12-09 14:42:34.887665","2015-12-09 14:42:34.887665",158,5
71,,Grandma,2,"2015-12-09 14:43:42.346605","2015-12-09 14:43:42.346605",165,5
72,,Grandma,2,"2015-12-09 14:45:23.691581","2015-12-09 14:45:23.691581",164,5
73,,Grandma,2,"2015-12-09 14:46:19.624594","2015-12-09 14:46:19.624594",163,5
74,,claimed,2,"2015-12-11 03:00:47.587478","2015-12-11 03:00:47.587478",102,4
75,,"Mom and Dad have this one.",2,"2015-12-11 15:52:54.814472","2015-12-11 15:52:54.814472",157,6
76,,"Mom and Dad have this one.",2,"2015-12-11 16:04:00.703123","2015-12-11 16:04:00.703123",118,6
77,,"Mom and Dad have this one.",2,"2015-12-11 16:05:18.477758","2015-12-11 16:05:18.477758",119,6
78,,"Got it!",2,"2015-12-13 13:45:55.249523","2015-12-13 13:45:55.249523",169,2
80,,Claim!,2,"2015-12-13 13:46:40.438458","2015-12-13 13:46:40.438458",162,2
81,,Claimed!,2,"2015-12-13 13:47:44.789923","2015-12-13 13:47:44.789923",159,2
82,,calimed,2,"2015-12-13 14:33:53.961223","2015-12-13 14:33:53.961223",151,2
83,,Claimed!,2,"2015-12-13 15:45:53.786701","2015-12-13 15:45:53.786701",168,2
84,,"Claimed.  And I'm going to read it quickly before I wrap it.",2,"2015-12-13 15:54:11.113837","2015-12-13 15:54:11.113837",150,2
85,,"Claimed -- and I plan to borrow it at the appropriate time",2,"2015-12-13 15:55:21.398806","2015-12-13 15:55:21.398806",144,2
86,,Getting,2,"2015-12-14 14:21:02.177447","2015-12-14 14:21:02.177447",145,1
87,,Getting,2,"2015-12-14 14:21:30.925658","2015-12-14 14:21:30.925658",146,1
88,,Getting,2,"2015-12-14 14:22:34.222356","2015-12-14 14:22:34.222356",154,1
89,,"Mom and Dad L. have contributed to this.",1,"2015-12-14 16:44:20.626717","2015-12-14 16:44:20.626717",124,6
91,,"Mom and Dad L. have contributed to this.",1,"2015-12-14 16:53:07.992744","2015-12-14 16:53:07.992744",123,6
92,,Claimed,2,"2015-12-22 01:45:43.584962","2015-12-22 01:45:43.584962",116,20
93,,Claimed,2,"2015-12-22 01:50:12.610501","2015-12-22 01:50:12.610501",120,20
94,,"Oops too late. Was looking for other ideas for too long",1,"2015-12-24 19:15:49.169659","2015-12-24 19:15:49.169659",116,1
95,,Getting,2,"2015-12-24 19:16:46.905607","2015-12-24 19:16:46.905607",170,1
97,,"Mom and Dad L. have this.",2,"2016-03-23 15:10:04.772150","2016-03-23 15:10:04.772150",195,6
98,,Getting,2,"2016-03-28 17:05:24.295702","2016-03-28 17:05:24.295702",197,1
99,,"Another digital female to compete with.  Great.",1,"2016-03-28 19:01:12.767819","2016-03-28 19:01:12.767819",195,20
100,,"Mom and Dad have this one.",2,"2016-03-30 14:43:37.097616","2016-03-30 14:43:37.097616",174,6
101,,"Mom and Dad have this one.",2,"2016-03-30 14:44:08.509729","2016-03-30 14:44:08.509729",202,6
102,,"Mom and Dad have this one.",2,"2016-03-30 14:44:47.077431","2016-03-30 14:44:47.077431",205,6
103,,"Anita claimed",1,"2016-03-30 17:21:22.200256","2016-03-30 17:21:22.200256",201,5
104,,"Anita claimed",1,"2016-03-30 17:21:47.417202","2016-03-30 17:21:47.417202",204,5
105,,"Claimed it properly, I believe.",2,"2016-04-01 15:18:10.151066","2016-04-01 15:18:10.151066",198,3
106,,"I got two in case one breaks",2,"2016-04-12 23:01:00.074842","2016-04-12 23:01:00.074842",206,2
107,,"Sounds vaguely artsy fartsy, and therefore mine to claim.",2,"2016-04-13 00:54:21.101901","2016-04-13 00:54:21.101901",203,3
108,,"Good thinking! ",1,"2016-04-13 00:55:12.152107","2016-04-13 00:55:12.152107",206,3
109,,Claimed!,2,"2016-04-13 02:08:10.093118","2016-04-13 02:08:10.093118",207,2
110,,"",2,"2016-04-13 16:23:33.686852","2016-04-13 16:23:33.686852",209,4
112,,"Gommy and Bops have this one.",2,"2016-05-09 13:27:57.316983","2016-05-09 13:27:57.316983",216,6
113,,Getting!,2,"2016-05-11 14:06:34.599847","2016-05-11 14:06:34.599847",214,1
114,,"Fragrance Mists and Body Lotions purchased.",1,"2016-05-30 22:19:25.717684","2016-05-30 22:19:25.717684",233,6
115,,"Purhcased! Except I didn't read this first so I got purple :(",2,"2016-05-31 13:54:33.867652","2016-05-31 13:54:33.867652",237,1
116,,"That is, I got a yoga mat.",1,"2016-05-31 13:55:00.443348","2016-05-31 13:55:00.443348",237,1
117,,"Gommy and Bops have jumped on this.",2,"2016-06-03 13:41:57.611540","2016-06-03 13:41:57.611540",225,6
118,,"Edgevalers are investigating this",1,"2016-06-06 01:09:13.164741","2016-06-06 01:09:13.164741",231,2
119,,"Looking into crafts",1,"2016-06-08 04:00:39.102647","2016-06-08 04:00:39.102647",235,1
120,,"We got this",2,"2016-06-10 12:23:05.037125","2016-06-10 12:23:05.037125",231,2
121,,"Bought for Father's Day by my sweet little girl",2,"2016-06-19 17:27:52.704520","2016-06-19 17:27:52.704520",210,1
132,,"Gommy and Bops got The Spooky Old Tree.",1,"2016-10-03 13:54:12.417752","2016-10-03 13:54:12.417752",269,6
133,,"Gommy & Bops got the Cave and the Dungeon.",1,"2016-10-03 14:55:52.026100","2016-10-03 14:55:52.026100",264,6
134,,"We got this",2,"2016-10-07 17:25:00.578781","2016-10-07 17:25:00.578781",268,2
135,,"Benbo got Too Much Vacation",2,"2016-10-07 17:25:25.452891","2016-10-07 17:25:25.452891",269,2
136,,"",2,"2016-10-09 17:08:34.690284","2016-10-09 17:08:34.690284",266,3
137,,"I like weapons!",2,"2016-10-09 17:08:50.823935","2016-10-09 17:08:50.823935",276,3
138,,"Sign me up",2,"2016-10-23 15:16:45.620727","2016-10-23 15:16:45.620727",287,1
139,,"Here too",2,"2016-10-23 15:16:51.388343","2016-10-23 15:16:51.388343",288,1
145,,"Got it!",2,"2016-11-27 19:03:19.979295","2016-11-27 19:03:19.979295",254,2
147,,"",2,"2016-12-03 21:01:52.438992","2016-12-03 21:01:52.438992",270,21
148,,"",2,"2016-12-05 15:10:51.974065","2016-12-05 15:10:51.974065",373,5
149,,"",2,"2016-12-05 15:10:53.851859","2016-12-05 15:10:53.851859",373,5
150,,"Gommy and Bops ordered this for Jane's birthday.",1,"2016-12-05 15:36:42.821174","2016-12-05 15:36:42.821174",351,6
152,,"",2,"2016-12-06 15:33:21.237579","2016-12-06 15:33:21.237579",385,5
153,,"",1,"2016-12-06 15:33:25.838010","2016-12-06 15:33:25.838010",390,5
154,,"Claimed by Anita",2,"2016-12-06 20:07:20.335693","2016-12-06 20:07:20.335693",390,1
155,,"Gommy and Bops have jumped on this one.",2,"2016-12-06 21:59:09.637632","2016-12-06 21:59:09.637632",388,6
156,,"",1,"2016-12-06 22:12:22.301691","2016-12-06 22:12:22.301691",371,6
157,,"Gommy and Bops have this one.",1,"2016-12-06 22:13:07.535626","2016-12-06 22:13:07.535626",371,6
158,,"FYI: Greg prefers the analog version",1,"2016-12-06 22:57:49.856854","2016-12-06 22:57:49.856854",381,2
159,,"Got it, order #369340",2,"2016-12-07 02:32:50.104434","2016-12-07 02:32:50.104434",290,1
162,,Ooh!,2,"2016-12-07 02:48:31.405805","2016-12-07 02:48:31.405805",402,1
163,,"Gommy and Bops have 2 Minecraft books and 1 Pokémon book.",1,"2016-12-07 16:02:46.698109","2016-12-07 16:02:46.698109",387,6
164,,"On it",2,"2016-12-08 02:28:05.552272","2016-12-08 02:28:05.552272",400,1
165,,"Considering this item I love, to help hold a large phone: https://smile.amazon.com/iRing-Universal-Masstige-Holder-Device/dp/B00DUN9B9U/",1,"2016-12-08 02:39:11.265552","2016-12-08 02:39:11.265552",272,1
166,,"I am his Mitchell supplier",2,"2016-12-08 02:43:20.770452","2016-12-08 02:43:20.770452",296,1
167,,"I am getting a different magic-related item I ran past Missy.",2,"2016-12-09 18:28:52.961522","2016-12-09 18:28:52.961522",423,1
168,,"Gommy and Bops have this one.",2,"2016-12-09 22:37:33.615735","2016-12-09 22:37:33.615735",308,6
169,,"Gommy and Bops have this one.",2,"2016-12-09 22:42:45.363156","2016-12-09 22:42:45.363156",382,6
170,,"Don't make me laugh--my lips are chapped.",1,"2016-12-09 22:53:49.636739","2016-12-09 22:53:49.636739",274,6
171,,"The Murder of Roger Ackroyd",1,"2016-12-09 22:54:40.884693","2016-12-09 22:54:40.884693",271,6
172,,Claaaaaaaim,2,"2016-12-10 02:59:53.120495","2016-12-10 02:59:53.120495",449,1
175,,"Gommy and Bops have this one.",2,"2016-12-10 15:12:04.991965","2016-12-10 15:12:04.991965",353,6
176,,"Gommy and Bops have this one.",2,"2016-12-10 15:15:35.648162","2016-12-10 15:15:35.648162",275,6
178,,"Gommy and Bops have made of selection of Miss Marples and Poirots.",2,"2016-12-10 15:38:11.559140","2016-12-10 15:38:11.559140",271,6
179,,"Gommy and Bops have this one.",2,"2016-12-10 19:32:34.255377","2016-12-10 19:32:34.255377",315,6
183,,"There are cases that keep things from dropping??????",1,"2016-12-11 19:03:36.480430","2016-12-11 19:03:36.480430",299,3
191,,"Mom and Dad will be contributing toward this.",1,"2016-12-13 16:19:27.031317","2016-12-13 16:19:27.031317",297,6
192,,"Mom and Dad will be contributing toward this.",1,"2016-12-13 16:20:36.158484","2016-12-13 16:20:36.158484",298,6
197,,"Santa will get this.",2,"2016-12-15 02:50:35.994659","2016-12-15 02:50:35.994659",389,4
198,,"",2,"2016-12-15 04:07:43.512661","2016-12-15 04:07:43.512661",293,21
199,,"",2,"2016-12-15 06:34:59.944291","2016-12-15 06:34:59.944291",446,21
200,,"",2,"2016-12-16 00:10:43.610213","2016-12-16 00:10:43.610213",317,4
201,,"",2,"2016-12-16 00:11:01.801447","2016-12-16 00:11:01.801447",323,4
202,,"Santa on this. Sorry we didn't sort that out earlier.",2,"2016-12-17 12:12:52.124252","2016-12-17 12:12:52.124252",407,8
203,,"Santa on this.",2,"2016-12-17 12:13:07.018233","2016-12-17 12:13:07.018233",412,8
204,,"Santa on this.",2,"2016-12-17 12:13:18.334953","2016-12-17 12:13:18.334953",418,8
208,,"Got it!",2,"2016-12-18 03:49:36.619637","2016-12-18 03:49:36.619637",381,2
209,,"Got it!",2,"2016-12-18 03:49:45.175177","2016-12-18 03:49:45.175177",443,2
211,,"Can do",2,"2016-12-18 20:38:37.381568","2016-12-18 20:38:37.381568",413,20
212,,"On its way",2,"2016-12-18 20:54:14.155433","2016-12-18 20:54:14.155433",367,20
213,,"",2,"2016-12-19 11:26:56.690933","2016-12-19 11:26:56.690933",365,3
214,,"",2,"2016-12-19 11:39:31.774241","2016-12-19 11:39:31.774241",386,3
215,,"",2,"2016-12-19 11:39:50.162679","2016-12-19 11:39:50.162679",470,3
216,,"",2,"2016-12-19 11:50:35.915743","2016-12-19 11:50:35.915743",377,3
220,,"",2,"2016-12-23 14:08:22.080039","2016-12-23 14:08:22.080039",299,3
223,,"Unclaim. I changed my mind. I'll leave the erroneous claim here for posterity but I DID NOT GIVE THIS",1,"2016-12-25 15:19:58.952613","2016-12-25 15:19:58.952613",449,1
224,,"The availability is still poor, so I'll take a stab at snagging a set.",2,"2017-03-15 17:50:31.893036","2017-03-15 17:50:31.893036",482,1
225,,"I scored a pair today at my local store, so Mission Accomplished.",2,"2017-03-21 21:18:01.476760","2017-03-21 21:18:01.476760",482,1
226,,"Mom and Dad have this one (if we can catch it).",2,"2017-03-25 18:00:39.775565","2017-03-25 18:00:39.775565",480,6
228,,"Mom and Dad have this one.",2,"2017-03-25 18:01:16.674201","2017-03-25 18:01:16.674201",481,6
229,,"Nice work!",1,"2017-03-26 17:11:44.095924","2017-03-26 17:11:44.095924",482,3
230,,"We'll get this.",2,"2017-03-26 17:20:34.876745","2017-03-26 17:20:34.876745",483,3
232,,"",1,"2017-03-31 20:38:02.991296","2017-03-31 20:38:02.991296",485,5
233,,"",2,"2017-03-31 20:38:47.255901","2017-03-31 20:38:47.255901",485,5
234,,"I got this.
Anita",1,"2017-03-31 20:39:34.034272","2017-03-31 20:39:34.034272",497,5
236,,"Mom says, ""I'll look for it today at TRU.""",1,"2017-04-05 13:04:04.914753","2017-04-05 13:04:04.914753",498,6
237,,"Got it!",2,"2017-04-05 15:42:18.715766","2017-04-05 15:42:18.715766",498,6
238,,"Greg already got this and is in love.",1,"2017-04-09 16:58:28.322808","2017-04-09 16:58:28.322808",490,4
239,,"Snagged one.",2,"2017-04-09 17:22:15.648745","2017-04-09 17:22:15.648745",494,4
240,,"I love this",1,"2017-04-13 01:50:37.224964","2017-04-13 01:50:37.224964",498,2
242,,"I'll get this",2,"2017-04-13 12:48:54.026477","2017-04-13 12:48:54.026477",491,2
243,,Claimy-poo,2,"2017-04-21 09:19:44.787660","2017-04-21 09:19:44.787660",492,3
246,,Claimed!,2,"2017-05-29 03:36:06.834830","2017-05-29 03:36:06.834830",507,2
247,,Claimed!,2,"2017-05-29 03:39:47.584250","2017-05-29 03:39:47.584250",522,2
248,,Getting,2,"2017-05-29 13:16:04.067221","2017-05-29 13:16:04.067221",523,1
249,,Getting,2,"2017-05-29 13:16:12.549376","2017-05-29 13:16:12.549376",504,1
251,,"Mom and Dad have this one.",2,"2017-05-30 12:36:30.884347","2017-05-30 12:36:30.884347",503,6
262,,"",2,"2017-09-21 17:43:05.632645","2017-09-21 17:43:05.632645",542,5
263,,"",2,"2017-09-21 17:43:20.030892","2017-09-21 17:43:20.030892",543,5
264,,"",2,"2017-09-26 13:42:50.663892","2017-09-26 13:42:50.663892",541,6
265,,"Got it!",2,"2017-10-07 11:56:56.933844","2017-10-07 11:56:56.933844",536,2
267,,"",2,"2017-11-27 13:53:17.592023","2017-11-27 13:53:17.592023",594,6
268,,"",2,"2017-11-27 14:10:04.053947","2017-11-27 14:10:04.053947",586,6
270,,"Got it!  Let me know if you want a piece, though.  I bought 2 $75 certs ($25 cyber monday discount on both, so total $100)",2,"2017-11-28 01:20:09.241631","2017-11-28 01:20:09.241631",605,2
271,,"Sara promises to button them more skillfully than did this young lady",1,"2017-11-28 01:20:58.491411","2017-11-28 01:20:58.491411",565,2
272,,"Cyber Mondayed!",2,"2017-11-28 01:28:34.713055","2017-11-28 01:28:34.713055",574,20
273,,"",2,"2017-11-28 18:39:05.451890","2017-11-28 18:39:05.451890",577,6
274,,"",2,"2017-11-28 18:43:59.157166","2017-11-28 18:43:59.157166",575,6
275,,"",2,"2017-11-29 14:48:33.035305","2017-11-29 14:48:33.035305",589,6
276,,"",2,"2017-12-01 19:33:02.366864","2017-12-01 19:33:02.366864",608,6
277,,"",2,"2017-12-01 19:46:56.759918","2017-12-01 19:46:56.759918",563,6
278,,"",1,"2017-12-01 19:53:06.226071","2017-12-01 19:53:06.226071",560,6
279,,"",2,"2017-12-01 19:57:25.833171","2017-12-01 19:57:25.833171",597,6
280,,"",2,"2017-12-02 16:15:53.216386","2017-12-02 16:15:53.216386",591,6
281,,"",2,"2017-12-02 16:32:01.198571","2017-12-02 16:32:01.198571",592,6
282,,"",2,"2017-12-02 16:42:06.709411","2017-12-02 16:42:06.709411",595,6
283,,"",2,"2017-12-02 16:46:02.212473","2017-12-02 16:46:02.212473",606,6
284,,"",2,"2017-12-04 17:40:46.336454","2017-12-04 17:40:46.336454",620,6
285,,"Gommy and Bops also added  a stuffed dragon.",1,"2017-12-04 17:41:33.539663","2017-12-04 17:41:33.539663",620,6
286,,"",2,"2017-12-05 13:32:37.647631","2017-12-05 13:32:37.647631",567,6
289,,"",2,"2017-12-05 16:47:21.200522","2017-12-05 16:47:21.200522",609,6
290,,"",2,"2017-12-05 16:48:41.593375","2017-12-05 16:48:41.593375",609,6
292,,"",2,"2017-12-05 18:48:48.348002","2017-12-05 18:48:48.348002",552,6
295,,"Anita has this",1,"2017-12-06 00:40:47.221578","2017-12-06 00:40:47.221578",621,5
296,,"Anita’s got this.",1,"2017-12-07 01:23:18.701287","2017-12-07 01:23:18.701287",628,5
297,,"Anita’s got this with Greg’s help.",1,"2017-12-07 01:24:32.646086","2017-12-07 01:24:32.646086",630,5
298,,"",2,"2017-12-07 23:05:23.078183","2017-12-07 23:05:23.078183",452,6
299,,"Oh I put this on Blake's shelf too. He saw it in a catalog and circled it. Maybe they could go on an adventure together, and hence maybe I'll buy this for Tim! Still thinking.",1,"2017-12-08 03:13:44.207265","2017-12-08 03:13:44.207265",578,1
300,,"Offered a hand-me-down Canon Digital Rebel EOS XSi",2,"2017-12-08 03:16:08.515908","2017-12-08 03:16:08.515908",607,1
301,,"",2,"2017-12-08 14:29:24.554085","2017-12-08 14:29:24.554085",634,6
302,,"",2,"2017-12-08 14:32:44.197094","2017-12-08 14:32:44.197094",629,6
303,,"",2,"2017-12-08 14:58:56.247716","2017-12-08 14:58:56.247716",627,6
305,,"",2,"2017-12-08 15:05:22.343263","2017-12-08 15:05:22.343263",624,6
306,,"",2,"2017-12-08 15:07:04.770432","2017-12-08 15:07:04.770432",554,6
307,,"Yes, getting this.",2,"2017-12-10 22:19:57.402431","2017-12-10 22:19:57.402431",578,1
308,,"Greer loved these fairy books. Getting!",2,"2017-12-10 22:28:01.434246","2017-12-10 22:28:01.434246",568,1
309,,"Got some matchbox cars",2,"2017-12-11 02:24:48.720462","2017-12-11 02:24:48.720462",466,1
311,,"Oh, well, this all needs to get bought. I'm on it.",2,"2017-12-11 13:55:58.962855","2017-12-11 13:55:58.962855",573,4
314,,"",2,"2017-12-12 13:36:23.581946","2017-12-12 13:36:23.581946",466,6
315,,"Got it",2,"2017-12-12 13:38:54.741235","2017-12-12 13:38:54.741235",654,2
316,,Claimed,2,"2017-12-12 17:23:46.833926","2017-12-12 17:23:46.833926",655,2
317,,Claimed,2,"2017-12-12 17:25:07.111719","2017-12-12 17:25:07.111719",604,2
318,,"S&B on this",2,"2017-12-14 01:58:44.410085","2017-12-14 01:58:44.410085",625,20
319,,"S&B on this",2,"2017-12-14 01:58:52.142421","2017-12-14 01:58:52.142421",626,20
320,,"We got the boy a couple musical instruments in the woodwind family.",2,"2017-12-15 17:06:29.140590","2017-12-15 17:06:29.140590",467,3
322,,"I like letters and numbers too!!",2,"2017-12-15 17:06:54.373877","2017-12-15 17:06:54.373877",562,3
323,,"Got matching measuring spoons too.",2,"2017-12-16 02:17:32.484332","2017-12-16 02:17:32.484332",556,3
324,,"Oh good! I thought they came with only that strategically placed button.",1,"2017-12-16 02:18:25.283541","2017-12-16 02:18:25.283541",565,3
325,,"",2,"2017-12-16 02:20:47.158295","2017-12-16 02:20:47.158295",558,3
326,,"On it!",2,"2017-12-16 02:28:12.175784","2017-12-16 02:28:12.175784",635,3
327,,"Mightn't he fall down?",1,"2017-12-16 02:29:28.128276","2017-12-16 02:29:28.128276",648,3
328,,"Can't find nowhere.",1,"2017-12-16 02:37:27.337173","2017-12-16 02:37:27.337173",619,3
329,,"Trying so hard to find....",1,"2017-12-16 10:48:42.361462","2017-12-16 10:48:42.361462",622,3
330,,"Link ain't workin' for me.",1,"2017-12-16 10:53:26.756477","2017-12-16 10:53:26.756477",631,3
331,,"This one neither.",1,"2017-12-16 10:55:33.237222","2017-12-16 10:55:33.237222",632,3
332,,"Nor this.",1,"2017-12-16 10:55:55.974722","2017-12-16 10:55:55.974722",633,3
335,,"",2,"2017-12-16 11:02:01.139367","2017-12-16 11:02:01.139367",550,3
336,,"Damon ",2,"2017-12-19 04:30:22.831181","2017-12-19 04:30:22.831181",535,21
337,,"Alison got this (it wasn't a link just an item from Greer's list)",2,"2017-12-19 19:03:08.922360","2017-12-19 19:03:08.922360",631,1
338,,"We struck out with this item (again, no link just a list item)",1,"2017-12-19 19:03:27.615334","2017-12-19 19:03:27.615334",632,1
339,,"Alison got this.",2,"2017-12-19 19:03:46.346400","2017-12-19 19:03:46.346400",633,1
340,,Found!,2,"2017-12-21 06:14:09.681312","2017-12-21 06:14:09.681312",622,3
341,,"Fine. I’ll do it.",2,"2017-12-22 14:00:34.425154","2017-12-22 14:00:34.425154",648,3
342,,"Buying it",2,"2017-12-26 02:32:28.311588","2017-12-26 02:32:28.311588",571,2
343,,"I'll get this!",2,"2018-03-22 13:17:21.468129","2018-03-22 13:17:21.468129",678,1
344,,"Mom and Dad are fielding this one.",2,"2018-03-26 13:29:27.450600","2018-03-26 13:29:27.450600",679,6
345,,"""Where's Mario?"" - Charlie",1,"2018-03-27 02:14:26.071610","2018-03-27 02:14:26.071610",678,20
346,,"Cochranses have this!",2,"2018-03-30 20:48:51.089594","2018-03-30 20:48:51.089594",681,3
347,,"Edgevalers got this",2,"2018-04-08 13:50:47.073432","2018-04-08 13:50:47.073432",692,2
348,,"Still can't request a certain Audible book right now. So frustrating!",1,"2018-04-09 09:55:28.998036","2018-04-09 09:55:28.998036",675,3
349,,"Claimed by Cochranses",2,"2018-04-09 09:55:54.501945","2018-04-09 09:55:54.501945",674,3
350,,"I think I've been tapped for this.",2,"2018-04-10 12:47:10.265614","2018-04-10 12:47:10.265614",694,4
351,,"I look forward to seeing this in action.",2,"2018-04-10 12:47:33.765820","2018-04-10 12:47:33.765820",682,4
352,,"Mom and Dad L. have this one.",2,"2018-04-13 21:07:16.500256","2018-04-13 21:07:16.500256",677,6
