id,title,description,created_at,updated_at,url,image_file_name,image_content_type,image_file_size,image_updated_at,image_remote_url,retina_dimensions
11,"can I spam your listz?","","2015-03-02 13:17:11.031261","2015-03-02 13:17:11.031261","",,,,,"",
12,"Becoming Steve Jobs","The Isaacson book was garbage, I read. The same person that said that, says the following about this new book: ""It is, in short, the book about Steve Jobs that the world deserves.""","2015-03-02 20:38:16.169559","2015-03-02 20:41:04.107187",http://www.amazon.com/Becoming-Steve-Jobs-Evolution-Visionary-ebook/dp/B00N6PCWY8/ref=tmm_kin_swatch_0?_encoding=UTF8&sr=8-1&qid=1424792902,413BMFYGFOL._BO2_204_203_200_PIsitb-sticker-v3-big_TopRight_0_-55_SX278_SY278_PIkin4_BottomRight_1_22_AA300_SH20_OU01_.jpg,image/jpeg,13896,"2015-03-02 20:41:03.450022","http://ecx.images-amazon.com/images/I/413BMFYGFOL._BO2,204,203,200_PIsitb-sticker-v3-big,TopRight,0,-55_SX278_SY278_PIkin4,BottomRight,1,22_AA300_SH20_OU01_.jpg",
13,"The New York Times - Breaking News, World News & Multimedia","Retina image?","2015-03-03 04:03:20.914933","2015-03-03 04:03:20.914933",http://www.nytimes.com/?WT.z_jog=1&hF=f&vS=hid,t_logo_291_black.png,image/png,5222,"2015-03-03 04:03:20.587915",http://static01.nyt.com/images/icons/t_logo_291_black.png,
14,"TransAcoustic Piano ($16,700)","No, I am not serious. Amazing upright acoustic piano that can be switched to digital mode for headphone play and other instrument sounds. Pogue's review: https://www.youtube.com/watch?v=TXmY9Oi2DXA","2015-03-09 00:57:01.351473","2015-03-09 00:57:01.351473",http://usa.yamaha.com/products/musical-instruments/keyboards/transacoustic/u1shta/?mode=model,1FF29CA83E034C2DB14D60308B6752F9_12001.jpg,image/jpeg,14313,"2015-03-09 00:57:00.837074",http://data.yamaha.jp/sdb/product/image/main/medium/u/u1shta/1FF29CA83E034C2DB14D60308B6752F9_12001.jpg,"---
:image:
  :medium:
    :width: 165
    :height: 165
"
16,"The Fall of the Ottomans: The Great War in the Middle East","A new angle. Good review in the economist.","2015-03-14 20:55:09.903181","2015-03-14 20:55:09.903181",http://www.amazon.com/The-Fall-Ottomans-Great-Middle-ebook/dp/B00PWX7S96/ref=tmm_kin_title_0,51lVbgnmo9L._BO2_204_203_200_PIsitb-sticker-v3-big_TopRight_0_-55_SX278_SY278_PIkin4_BottomRight_1_22_AA300_SH20_OU01_.jpg,image/jpeg,19743,"2015-03-14 20:55:09.330242","http://ecx.images-amazon.com/images/I/51lVbgnmo9L._BO2,204,203,200_PIsitb-sticker-v3-big,TopRight,0,-55_SX278_SY278_PIkin4,BottomRight,1,22_AA300_SH20_OU01_.jpg","---
:image:
  :medium:
    :width: 150
    :height: 150
"
17,"Operation Barbarossa: Hitler's Invasion of Russia","Glantz is the expert. Mom has his books as well.","2015-03-15 02:06:10.910646","2015-03-15 02:06:10.910646",http://www.amazon.com/Operation-Barbarossa-Hitlers-Invasion-Russia-ebook/dp/B006VOJ44C/ref=tmm_kin_title_0?ie=UTF8&qid=1426385065&sr=1-3,51TLb03wzbL._BO2_204_203_200_PIsitb-sticker-v3-big_TopRight_0_-55_SX278_SY278_PIkin4_BottomRight_1_22_AA300_SH20_OU01_.jpg,image/jpeg,17319,"2015-03-15 02:06:10.394525","http://ecx.images-amazon.com/images/I/51TLb03wzbL._BO2,204,203,200_PIsitb-sticker-v3-big,TopRight,0,-55_SX278_SY278_PIkin4,BottomRight,1,22_AA300_SH20_OU01_.jpg","---
:image:
  :medium:
    :width: 150
    :height: 150
"
22,Drone,"This one's got wheels *and* propellers, and is $90. I looked at ones big enough to have a high-res camera and long battery life, but they are $1,000 and up. This one does have a small camera built-in though, and you control it with an app.","2015-03-20 16:22:49.535570","2015-03-20 16:26:18.183428",http://www.amazon.com/Parrot-MiniDrone-Rolling-Spider-Blue/dp/B00KZM53OQ?psc=1&SubscriptionId=AKIAIEF7KZG4SSIJ7QQA&tag=toms_shopping_rev-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00KZM53OQ&ascsubtag=[site%7Ctguus[cat%7C[art%7C[pid%7CB00KZM53OQ[tid%7C14268680097669563[bbc%7CLEPRIX,41VM2JVYXRL._SX300_.jpg,image/jpeg,7960,"2015-03-20 16:26:17.409431",http://ecx.images-amazon.com/images/I/41VM2JVYXRL._SX300_.jpg,"---
:image:
  :medium:
    :width: 150
    :height: 118
"
23,"Fracture: your photos on glass","My boss has these. I would prize a photo for my office, either this kind or a nice framed one.","2015-03-21 02:17:35.828139","2015-03-21 02:17:35.828139",https://www.fractureme.com/affordable-framing-prices,,,,,"",
24,"The Essential Calvin and Hobbes","I don't seem to own any Calvin and Hobbes anymore. There's this big ""Complete C&H"" set, but it looks unwieldy for actual reading. I'm hoping the kids will also take a look, so I chose a couple of the regular paperback volumes.","2015-03-23 23:54:11.199859","2015-03-23 23:54:11.199859",http://www.amazon.com/Essential-Calvin-Hobbes-Bill-Watterson/dp/0836218051/ref=pd_cp_b_1,61M41hxr0zL._SX258_BO1_204_203_200_.jpg,image/jpeg,36171,"2015-03-23 23:54:10.646624","http://ecx.images-amazon.com/images/I/61M41hxr0zL._SX258_BO1,204,203,200_.jpg","---
:image:
  :medium:
    :width: 130
    :height: 167
"
25,"The Authoritative Calvin and Hobbes","Book two.","2015-03-23 23:54:55.030541","2015-03-23 23:54:55.030541",http://www.amazon.com/The-Authoritative-Calvin-Hobbes-Treasury/dp/0836218221/ref=pd_bxgy_b_text_z,510t3rWYO3L._SX258_BO1_204_203_200_.jpg,image/jpeg,31778,"2015-03-23 23:54:54.648127","http://ecx.images-amazon.com/images/I/510t3rWYO3L._SX258_BO1,204,203,200_.jpg","---
:image:
  :medium:
    :width: 130
    :height: 167
"
26,"Quantum Mechanics and Experience","My research says this is a good starting point for thinking about physics philosophically.","2015-03-26 03:02:02.355137","2015-03-26 03:03:07.745751",http://www.amazon.com/Quantum-Mechanics-Experience-David-Albert-ebook/dp/B004H4WO2M/ref=tmm_kin_title_0?_encoding=UTF8&sr=1-14&qid=1427338804,51fskQC_2Bo_2BL._SY344_BO1_204_203_200_.jpg,image/jpeg,22355,"2015-03-26 03:03:07.416046","http://ecx.images-amazon.com/images/I/51fskQC%2Bo%2BL._SY344_BO1,204,203,200_.jpg","---
:image:
  :medium:
    :width: 115
    :height: 173
"
28,"From Eternity to Here","Book from a scientist whose blog I have followed for many years.","2015-03-26 19:36:49.483404","2015-03-28 16:04:29.988832",http://www.amazon.com/From-Eternity-Here-Ultimate-Theory-ebook/dp/B002VXTAZ0,512O7BpCKIL._BO2_204_203_200_PIsitb-sticker-v3-big_TopRight_0_-55_SX278_SY278_PIkin4_BottomRight_1_22_AA300_SH20_OU01_.jpg,image/jpeg,19702,"2015-03-28 16:04:29.300557","http://ecx.images-amazon.com/images/I/512O7BpCKIL._BO2,204,203,200_PIsitb-sticker-v3-big,TopRight,0,-55_SX278_SY278_PIkin4,BottomRight,1,22_AA300_SH20_OU01_.jpg","---
:image:
  :medium:
    :width: 150
    :height: 150
"
29,"Theory and Reality","","2015-04-22 20:23:07.157687","2015-04-22 20:23:07.157687",http://www.amazon.com/Theory-Reality-Introduction-Philosophy-Foundations/dp/0226300633/ref=pd_bxgy_b_text_z,51KHiYQKcdL._SY344_BO1_204_203_200_.jpg,image/jpeg,16478,"2015-04-22 20:23:06.343914","http://ecx.images-amazon.com/images/I/51KHiYQKcdL._SY344_BO1,204,203,200_.jpg","---
:image:
  :medium:
    :width: 115
    :height: 173
"
32,"Paper Airplane Motor","If this works, it will be PHENOMENALLY successful.","2015-05-02 17:33:37.363041","2015-05-02 17:33:37.363041",http://www.amazon.com/PowerUp-Electric-Paper-Airplane-Conversion/dp/B00DTIYD4Y/ref=sr_1_1?s=toys-and-games&ie=UTF8&qid=1430587966&sr=1-1&keywords=paper+airplane+motor,41EoD0VWVYL._SY300_.jpg,image/jpeg,10752,"2015-05-02 17:33:36.937754",http://ecx.images-amazon.com/images/I/41EoD0VWVYL._SY300_.jpg,"---
:image:
  :medium:
    :width: 150
    :height: 150
"
33,"Dinosaur stencils","This item, especially along with crayons or colored pencils and paper, would be a huge hit.","2015-05-02 17:38:25.434359","2015-05-02 17:38:25.434359",http://www.amazon.com/Melissa-Doug-Textured-Stencils-Dinosaurs/dp/B003AHG3NI/ref=sr_1_1?s=toys-and-games&ie=UTF8&qid=1430588235&sr=1-1&keywords=dinosaur+stencils,51qqInsHlxL._SY300_.jpg,image/jpeg,23835,"2015-05-02 17:38:25.044003",http://ecx.images-amazon.com/images/I/51qqInsHlxL._SY300_.jpg,"---
:image:
  :medium:
    :width: 140
    :height: 150
"
34,"Dino Puzzle","A good size for our dude, who can handle up to 100 pieces, if you see something else.","2015-05-02 19:19:39.172968","2015-05-02 19:19:39.172968",http://www.amazon.com/Melissa-Doug-Dinosaurs-Jigsaw-Puzzle/dp/B0007M3ZH6/ref=sr_1_4?ie=UTF8&qid=1430594245&sr=8-4&keywords=melissa+doug+dinosaur+puzzle,519MepKk8OL._SX300_.jpg,image/jpeg,21556,"2015-05-02 19:19:38.682933",http://ecx.images-amazon.com/images/I/519MepKk8OL._SX300_.jpg,"---
:image:
  :medium:
    :width: 150
    :height: 109
"
35,"T-Rex Puzzle","T-Rexes rule, and puzzles shaped like them are cool.","2015-05-02 19:21:05.016341","2015-05-02 19:21:05.016341",http://www.amazon.com/Melissa-Doug-T-REX-48-Floor/dp/B00006667R/ref=sr_1_13?ie=UTF8&qid=1430594245&sr=8-13&keywords=melissa+doug+dinosaur+puzzle,51kM0I3JR9L._SY300_.jpg,image/jpeg,20391,"2015-05-02 19:21:04.627600",http://ecx.images-amazon.com/images/I/51kM0I3JR9L._SY300_.jpg,"---
:image:
  :medium:
    :width: 104
    :height: 150
"
36,"100-piece Dino Puzzle","Last of three I'll post.","2015-05-02 19:22:50.098541","2015-05-02 19:27:04.593551",http://www.amazon.com/Crocodile-Creek-Travel-Jigsaw-Puzzle/dp/B003O198K0/ref=sr_1_2?ie=UTF8&qid=1430594522&sr=8-2&keywords=dinosaur+100+piece+puzzle,51503GeUgLL._SY300_.jpg,image/jpeg,21915,"2015-05-02 19:27:04.253014",http://ecx.images-amazon.com/images/I/51503GeUgLL._SY300_.jpg,"---
:image:
  :medium:
    :width: 150
    :height: 150
"
37,Sax,"Tim loves to mess with instruments, and I think we would enjoy this mightily.","2015-05-02 19:25:17.126969","2015-05-02 19:25:17.126969",http://www.toystogrowon.com/sku486,486_f.jpg,image/jpeg,32586,"2015-05-02 19:25:16.554230",http://www.toystogrowon.com/graphics/products/full/486_f.jpg,"---
:image:
  :medium:
    :width: 188
    :height: 186
"
38,"Digging for Gems","This is a no-brainer. He loves gem-like rocks and digging. And has seen stuff like this and expressed interest.","2015-05-02 19:26:41.226918","2015-05-02 19:26:41.226918",http://www.amazon.com/dp/B005QCE8SC/ref=gl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=1RMBT16WVSQO5&coliid=I3GMB9WNM9NX4X,61jw0ms4N2L._SY300_.jpg,image/jpeg,34329,"2015-05-02 19:26:40.835738",http://ecx.images-amazon.com/images/I/61jw0ms4N2L._SY300_.jpg,"---
:image:
  :medium:
    :width: 150
    :height: 150
"
39,"Dino Book of Interest","This is one he'd love.","2015-05-02 19:37:21.851045","2015-05-02 19:37:21.851045",http://www.amazon.com/dp/1604334967/ref=gl_it_dp_o_pd_S_ttl?_encoding=UTF8&colid=1RMBT16WVSQO5&coliid=IBBRE9E1W3M8E,61eNX-7cwrL._SX258_BO1_204_203_200_.jpg,image/jpeg,24529,"2015-05-02 19:37:21.108637","http://ecx.images-amazon.com/images/I/61eNX-7cwrL._SX258_BO1,204,203,200_.jpg","---
:image:
  :medium:
    :width: 130
    :height: 105
"
40,"Another Dino Book He'd Love","He would love this one too.","2015-05-02 19:38:50.421989","2015-05-02 19:38:50.421989",http://www.amazon.com/dp/1402777787/ref=gl_it_dp_o_pC_S_ttl?_encoding=UTF8&colid=1RMBT16WVSQO5&coliid=I1OQHPDEEJ5KDR,61neUCWtvAL._SX258_BO1_204_203_200_.jpg,image/jpeg,26430,"2015-05-02 19:38:50.008007","http://ecx.images-amazon.com/images/I/61neUCWtvAL._SX258_BO1,204,203,200_.jpg","---
:image:
  :medium:
    :width: 130
    :height: 143
"
41,"3D Is Always a Win","Time magazine and dinos? Perfect combo.","2015-05-02 19:40:31.915369","2015-05-02 19:40:31.915369",http://www.amazon.com/dp/1618930443/ref=gl_it_dp_o_pC_nS_ttl?_encoding=UTF8&colid=1RMBT16WVSQO5&coliid=I2GIR5223IPCIB,616d7FLb_2BQL._SX258_BO1_204_203_200_.jpg,image/jpeg,26279,"2015-05-02 19:40:31.514008","http://ecx.images-amazon.com/images/I/616d7FLb%2BQL._SX258_BO1,204,203,200_.jpg","---
:image:
  :medium:
    :width: 130
    :height: 130
"
42,"Small Dino Pillow Pet","He has asked for this several times.","2015-05-02 19:50:09.285203","2015-05-02 19:50:09.285203",http://www.amazon.com/My-Pillow-Pets-Green-Dinosaur/dp/B004T9SG5Y/ref=sr_1_3?s=toys-and-,41q--rdG4yL._SX300_.jpg,image/jpeg,12326,"2015-05-02 19:50:08.917112",http://ecx.images-amazon.com/images/I/41q--rdG4yL._SX300_.jpg,"---
:image:
  :medium:
    :width: 150
    :height: 105
"
43,"Other thoughts","Other ideas for fun: mini golf, safe darts, balls (football, soccer, other), color- or paint-by-number (he can't get enough of these).","2015-05-02 19:52:28.314891","2015-05-02 19:53:56.814101","",,,,,"",
44,"Paper Airplane Kit","He would love anything like this that involves all the stuff needed to make actual paper airplanes. Anything on kid-friendly aerodynamics would rock too. He loves to dig into that kind of thing.","2015-05-02 19:57:01.427518","2015-05-02 19:57:01.427518",http://www.amazon.com/Flying-Fun-Paper-Airplane-Kit/dp/1450862063/ref=sr_1_4?ie=UTF8&qid=1430596535&sr=8-4&keywords=paper+airplane+kit,61NDW3hwamL._SX258_BO1_204_203_200_.jpg,image/jpeg,25063,"2015-05-02 19:57:01.034650","http://ecx.images-amazon.com/images/I/61NDW3hwamL._SX258_BO1,204,203,200_.jpg","---
:image:
  :medium:
    :width: 130
    :height: 109
"
45,"Platform Swing","We have taken down our rickety little-kid jungle gym and want to hang cool swings in strategic places. We have the horse one up, but would like to get this one for all to use. It's pricey. We would like to get the tree hangers they sell too. It makes life way easier. It won't let me use the pictures.","2015-05-02 20:01:41.926697","2015-05-02 20:01:41.926697",http://www.hearthsong.com/deluxe-platform-swing.htm,,,,,"",
49,"Russian Tea Cup","Not anything this expensive, and only one needed, but I would love a beautiful Russian tea cup.","2015-05-02 20:11:17.176350","2015-05-02 20:11:17.176350",http://www.amazon.com/Combination-Russian-Crystal-Drinking-Podstakannik/dp/B009I45G0I/ref=sr_1_1?ie=UTF8&qid=1430597406&sr=8-1&keywords=russian+tea+cup,51e-A-wGcfL._SX300_.jpg,image/jpeg,14926,"2015-05-02 20:11:16.792396",http://ecx.images-amazon.com/images/I/51e-A-wGcfL._SX300_.jpg,"---
:image:
  :medium:
    :width: 150
    :height: 112
"
50,"Russian Tea","For example","2015-05-02 20:13:30.069329","2015-05-02 20:13:30.069329",http://www.amazon.com/Kusmi-RUSSIAN-MORNING-N%C2%B024-Sachets/dp/B0014WKJ8Q/ref=sr_1_10?ie=UTF8&qid=1430597558&sr=8-10&keywords=russian+tea+bags,51AKv9J8ikL._SY300_.jpg,image/jpeg,26248,"2015-05-02 20:13:29.675294",http://ecx.images-amazon.com/images/I/51AKv9J8ikL._SY300_.jpg,"---
:image:
  :medium:
    :width: 150
    :height: 150
"
51,Laptop,"Just an example, but I don't see why we shouldn't go for top of the line.","2015-05-05 15:59:18.458861","2015-05-05 15:59:18.458861",http://www.amazon.com/Dell-XPS-15-Touchscreen-Performance/dp/B00N3FPZ5E/ref=sr_1_5?s=electronics&ie=UTF8&qid=1430841539&sr=1-5&keywords=amazon+laptop+dell+top+of+the+line,414oIZVa4uL._SY300_.jpg,image/jpeg,12675,"2015-05-05 15:59:17.961038",http://ecx.images-amazon.com/images/I/414oIZVa4uL._SY300_.jpg,"---
:image:
  :medium:
    :width: 150
    :height: 150
"
52,"Courage to Teach","I know I own this and have read it, but it's definitely time again and no one can find it.","2015-05-05 16:00:25.686134","2015-05-05 16:00:25.686134",http://www.amazon.com/Courage-Teach-Exploring-Landscape-Anniversary/dp/0787996866/ref=sr_1_1?ie=UTF8&qid=1430841586&sr=8-1&keywords=courage+to+teach,51OdulT7E-L._SY344_BO1_204_203_200_.jpg,image/jpeg,26205,"2015-05-05 16:00:25.266493","http://ecx.images-amazon.com/images/I/51OdulT7E-L._SY344_BO1,204,203,200_.jpg","---
:image:
  :medium:
    :width: 113
    :height: 173
"
53,"Major League Reading shirt","2XL and blue, please","2015-05-05 16:02:04.040772","2015-05-05 16:02:04.040772",http://www.redbubble.com/people/megnxneko/works/10023386-major-league-reading?p=t-shirt&style=mens&body_color=royal_blue&size=xxl&print_location=front,fc_550x550_royal_blue.jpg,image/jpeg,30916,"2015-05-05 16:02:03.575953","http://ih0.redbubble.net/image.13522983.3386/fc,550x550,royal_blue.jpg","---
:image:
  :medium:
    :width: 275
    :height: 275
"
54,"Conjunction Junction Tee","2XL, please","2015-05-05 16:03:01.149142","2015-05-05 16:03:01.149142",http://www.amazon.com/Schoolhouse-Rock-Conjunction-Junction-Heather/dp/B004Y0UZ16,51fd-I-3RrL._SX342_.jpg,image/jpeg,17522,"2015-05-05 16:03:00.728899",http://ecx.images-amazon.com/images/I/51fd-I-3RrL._SX342_.jpg,"---
:image:
  :medium:
    :width: 171
    :height: 154
"
55,"Chesapeake Shakespeare Show","This is always so very much a beloved gift.","2015-05-05 22:11:23.383133","2015-05-05 22:11:23.383133",http://www.chesapeakeshakespeare.com/season/the-comedy-of-errors,7a_comedy.jpg,image/jpeg,56039,"2015-05-05 22:11:22.832050",http://www.chesapeakeshakespeare.com/wp-content/uploads/2014/07/7a_comedy.jpg,"---
:image:
  :medium:
    :width: 300
    :height: 156
"
56,"This Writing Class","I've been wanting to take a class here forever, and this is so perfect for me. I want it. Please note it's discounted right now.","2015-05-21 13:52:33.114100","2015-05-21 13:55:37.691772",https://rccbonsecours.com/event/finding-god-at-the-tip-of-your-pen/,writing.jpg,image/jpeg,701975,"2015-05-21 13:55:35.425564",https://rccbonsecours.com/wp-content/uploads/sites/11/2015/04/writing.jpg,"---
:image:
  :medium:
    :width: 300
    :height: 203
"
57,"Moneys for Clothes","Always needed.","2015-05-21 13:56:12.195691","2015-05-21 13:57:52.447292",http://anath.hubpages.com/hub/dress-to-attract-good-luck-for-the-New-Year,2142448_f520.jpg,image/jpeg,37242,"2015-05-21 13:57:51.994946",http://usercontent1.hubimg.com/2142448_f520.jpg,"---
:image:
  :medium:
    :width: 260
    :height: 242
"
58,"Myth of the Spoiled Child","Not really about only that topic, but about the awfulizing in general out there re kids today.","2015-05-21 13:58:57.697928","2015-05-21 13:58:57.697928",http://www.amazon.com/Myth-Spoiled-Child-Challenging-Conventional/dp/0738217247/ref=sr_1_1?ie=UTF8&qid=1432216717&sr=8-1&keywords=myth+of+the+spoiled+child,51qBsKAjdLL._SY344_BO1_204_203_200_.jpg,image/jpeg,20507,"2015-05-21 13:58:57.249729","http://ecx.images-amazon.com/images/I/51qBsKAjdLL._SY344_BO1,204,203,200_.jpg","---
:image:
  :medium:
    :width: 115
    :height: 173
"
61,"Jane Austen Mug","Cool beans! I have the Shakespeare one.","2015-05-21 14:02:30.639883","2015-05-21 17:34:49.899729",http://www.amazon.com/The-Unemployed-Philosophers-Guild-3764/dp/B00KSERAQA/ref=sr_1_1?ie=UTF8&qid=1432216921&sr=8-1&keywords=jane+austen+mug,51zKxBYeBXL._SX300_.jpg,image/jpeg,18734,"2015-05-21 17:34:49.470533",http://ecx.images-amazon.com/images/I/51zKxBYeBXL._SX300_.jpg,"---
:image:
  :medium:
    :width: 150
    :height: 125
"
62,"Cookbook of Great Use","This is the cooking style I most use at the moment. Ideas needed!","2015-05-21 14:05:04.332448","2015-05-21 14:05:04.332448",http://www.amazon.com/Sizzling-Skillets-One-Pot-Wonders-Emerils/dp/0061742961/ref=sr_1_1?ie=UTF8&qid=1432217045&sr=8-1&keywords=emeril+one+pot,51ooVS7nK9L._SX258_BO1_204_203_200_.jpg,image/jpeg,26967,"2015-05-21 14:05:03.734520","http://ecx.images-amazon.com/images/I/51ooVS7nK9L._SX258_BO1,204,203,200_.jpg","---
:image:
  :medium:
    :width: 130
    :height: 171
"
63,"It's Time to Tell the Story","Can you imagine a more heartwarming story than that of my life??? Me neither.","2015-05-21 14:42:56.808170","2015-05-21 14:42:56.808170",http://www.amazon.com/Your-Life-Book-Publish-Memoir/dp/1570619301/ref=sr_1_1?ie=UTF8&qid=1432217385&sr=8-1&keywords=your+life+is+a+book,51DeI4IIUsL._SY344_BO1_204_203_200_.jpg,image/jpeg,24155,"2015-05-21 14:42:55.832682","http://ecx.images-amazon.com/images/I/51DeI4IIUsL._SY344_BO1,204,203,200_.jpg","---
:image:
  :medium:
    :width: 112
    :height: 173
"
64,"Pineapple Dream","I don't understand. How can anything be this easy? This is even better than the apple corer/peeler/slicer I have.","2015-05-23 12:00:05.417463","2015-05-23 12:00:05.417463",http://www.amazon.com/All-Ware-Stainless-Pineapple-Slicer/dp/B000GA53CO/ref=sr_1_1?ie=UTF8&qid=1432382333&sr=8-1&keywords=pineapple+dream,419VZ5PcKHL._SX300_.jpg,image/jpeg,12331,"2015-05-23 12:00:04.978296",http://ecx.images-amazon.com/images/I/419VZ5PcKHL._SX300_.jpg,"---
:image:
  :medium:
    :width: 150
    :height: 141
"
66,"BN Gift Card","Always appreciated, always a happiness maker.","2015-05-23 12:32:28.534498","2015-05-23 12:32:28.534498",http://www.barnesandnoble.com/u/gift-card/379003883,,,,,"",
67,"Spa Visit","Either Ojas or Turf Valley always a hit!","2015-05-23 12:33:29.530403","2015-05-23 12:33:29.530403",http://www.ojaswellness.com/,new_member_slider.jpg,image/jpeg,129775,"2015-05-23 12:33:28.584877",http://www.ojaswellness.com/data/images/new_member_slider.jpg,"---
:image:
  :medium:
    :width: 300
    :height: 155
"
